ProjectName,Scenario,Watershed,Total contributing area to outlet (ha),Precipitation (m^3/yr),Precipitation per area (mm/yr),Water discharge (m^3/yr),Water discharge per area (mm/yr),Total hillslope soil loss (tonne/yr),Total hillslope soil loss per area (kg/ha/yr),Total channel soil loss (tonne/yr),Total channel soil loss per area (kg/ha/yr),Sediment discharge (tonne/yr),Sediment discharge per area (kg/ha/yr),Sediment delivery ratio for watershed,Phosphorus discharge (kg/yr),Phosphorus discharge per area (kg/ha/yr),Particle Fraction Under 0.016 mm,Sediment Yield of Particles Under 0.016 mm (tonne/yr),Sediment Yield of Particles Under 0.016 mm per area (kg/ha/yr)
CurCond.2020.ki5krcs.chn_cs12_Watershed_7_Ward,CurCond.2020.ki5krcs.chn,Watershed_7_Ward,2314.23,30688326.0,1326.070701702078,17837030.0,770.7544193965164,1012.0,437.29447807694135,1166.5,504.05534454224517,1379.7,596.1810191726838,0.633,1212.5,0.5239323662730152,0.2089,288.21933,124.54221490517365
CurCond.2020.ki5krcs.chn_cs12_Watershed_11_General,CurCond.2020.ki5krcs.chn,Watershed_11_General,1819.7,22100076.0,1214.4900807825466,12095344.0,664.6889047645217,93.5,51.382095949881844,448.9,246.68901467274824,211.0,115.9531790954553,0.389,237.6,0.13057097323734682,0.3518,74.2298,40.79232840578117
CurCond.2020.ki5krcs.chn_cs12_Watershed_9_Blackwood,CurCond.2020.ki5krcs.chn,Watershed_9_Blackwood,2671.07,37575749.0,1406.7676623974662,23283588.0,871.6951633614993,4655.8,1743.046793981438,3469.7,1298.9925385706852,1623.0,607.6216647261209,0.2,1430.6,0.535590606011823,0.37170000000000003,603.2691000000001,225.85297277869918
HighSev.2020.kikrcs.chn_12_Watershed_11_General,HighSev.2020.kikrcs.chn,Watershed_11_General,1819.7,22100076.0,1214.4900807825466,14889049.0,818.21448590427,1576.7,866.4615046436226,1024.6,563.0598450294003,394.3,216.68406880254986,0.152,1457.4,0.8009012474583723,0.3256,128.38408,70.55233280211024
HighSev.2020.kikrcs.chn_12_Watershed_7_Ward,HighSev.2020.kikrcs.chn,Watershed_7_Ward,2314.23,30688326.0,1326.070701702078,21637515.0,934.9768605540504,17869.8,7721.704411402497,20889.1,9026.371622526714,10302.3,4451.718282106792,0.266,8364.0,3.6141610816556695,0.2824,2909.3695199999997,1257.1652428669577
HighSev.2020.kikrcs.chn_12_Watershed_9_Blackwood,HighSev.2020.kikrcs.chn,Watershed_9_Blackwood,2671.07,37575749.0,1406.7676623974662,26883324.0,1006.462728419697,36697.4,13738.838742526403,12301.0,4605.270547009251,13057.3,4888.415503899186,0.266,10591.1,3.96511510368504,0.2572,3358.3375599999995,1257.3004676028706
ModSev.2020.kikrcs.chn_12_Watershed_11_General,ModSev.2020.kikrcs.chn,Watershed_11_General,1819.7,22100076.0,1214.4900807825466,13914675.0,764.6686266967082,360.5,198.10957850195086,943.7,518.6019673572566,311.0,170.90729241083696,0.238,328.8,0.18068912458097489,0.33340000000000003,103.68740000000001,56.98049128977304
ModSev.2020.kikrcs.chn_12_Watershed_7_Ward,ModSev.2020.kikrcs.chn,Watershed_7_Ward,2314.23,30688326.0,1326.070701702078,20377291.0,880.5214261330983,6666.8,2880.785401623866,8572.8,3704.385475946643,4209.5,1818.9635429494908,0.276,3624.2,1.5660500468838447,0.22110000000000002,930.72045,402.17283934613243
ModSev.2020.kikrcs.chn_12_Watershed_9_Blackwood,ModSev.2020.kikrcs.chn,Watershed_9_Blackwood,2671.07,37575749.0,1406.7676623974662,25650428.0,960.3053457977514,16666.8,6239.7466183963725,10800.4,4043.473214853972,6472.9,2423.335966485341,0.236,5319.3,1.9914491196411925,0.2734,1769.6908599999997,662.540053237092
LowSev.2020.kikrcs.chn_12_Watershed_11_General,LowSev.2020.kikrcs.chn,Watershed_11_General,1819.7,22100076.0,1214.4900807825466,13313676.0,731.6412595482772,176.6,97.04896411496401,553.2,304.0061548606913,273.5,150.29949991756882,0.375,295.7,0.16249931307358353,0.33140000000000003,90.6379,49.80925427268232
LowSev.2020.kikrcs.chn_12_Watershed_7_Ward,LowSev.2020.kikrcs.chn,Watershed_7_Ward,2314.23,30688326.0,1326.070701702078,19509576.0,843.026665456761,3220.8,1391.7372084883525,3915.6,1691.9666584565925,2532.7,1094.402889946116,0.355,2138.7,0.9241518777303898,0.2492,631.14884,272.7252001745721
LowSev.2020.kikrcs.chn_12_Watershed_9_Blackwood,LowSev.2020.kikrcs.chn,Watershed_9_Blackwood,2671.07,37575749.0,1406.7676623974662,24745275.0,926.4180646707125,9614.9,3599.6435885244487,12640.0,4732.185977903986,4138.5,1549.379087781301,0.186,3447.0,1.2904940716641644,0.35860000000000003,1484.0661000000002,555.6073408783747
