ProjectName,Scenario,Watershed,Total contributing area to outlet (ha),Precipitation (m^3/yr),Precipitation per area (mm/yr),Water discharge (m^3/yr),Water discharge per area (mm/yr),Total hillslope soil loss (tonne/yr),Total hillslope soil loss per area (kg/ha/yr),Total channel soil loss (tonne/yr),Total channel soil loss per area (kg/ha/yr),Sediment discharge (tonne/yr),Sediment discharge per area (kg/ha/yr),Sediment delivery ratio for watershed,Phosphorus discharge (kg/yr),Phosphorus discharge per area (kg/ha/yr),Particle Fraction Under 0.016 mm,Sediment Yield of Particles Under 0.016 mm (tonne/yr),Sediment Yield of Particles Under 0.016 mm per area (kg/ha/yr)
lt_Watershed_20_SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,lt_Watershed_20,877.52,8733199,995.2136703,4488680,511.5188258,1749.1,1993.230924,349.7,398.5094357,1053.4,1200.42848,0.502,871.3,0.992911842,0.2498,263.13932,299.8670344
lt_Watershed_1_SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,lt_Watershed_1,262.83,2411256,917.4203858,1244215,473.3915459,267.2,1016.626717,43.6,165.8866948,258.9,985.047369,0.833,214.7,0.81687783,0.1227,31.76703,120.8653122
lt_Watershed_2_SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,lt_Watershed_2,110.68,1032881,933.2137694,499387,451.1989519,31.5,284.6042645,10.6,95.77159378,42.2,381.2793639,1.001,36.4,0.328876039,0.1243,5.24546,47.39302494
lt_Watershed_3_SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,lt_Watershed_3,188.22,1790664,951.3675486,888314,471.9551589,42.4,225.268303,37.8,200.8288173,80.1,425.5658272,0.998,68.9,0.366060992,0.1374,11.00574,58.47274466
lt_Watershed_10_SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,lt_Watershed_10,1309.41,15380623,1174.622387,8148837,622.3289115,914.7,698.5588929,320,244.3848756,704.7,538.1813183,0.571,705.3,0.53863954,0.1804,127.12788,97.08790982
lt_Watershed_5_SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,lt_Watershed_5,268.63,2753813,1025.132338,1544306,574.88218,375.6,1398.20571,54,201.0199903,419.4,1561.255258,0.976,343.5,1.278710494,0.1045,43.8273,163.1511745
lt_Watershed_4_SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,lt_Watershed_4,1345.08,13708196,1019.136111,7347536,546.2527136,1554.6,1155.767687,304.8,226.6036221,1616.6,1201.861599,0.869,1337.3,0.994215957,0.1202,194.31532,144.4637642
lt_Watershed_6_SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,lt_Watershed_6,122.51,1216674,993.1221941,717798,585.9097217,141.1,1151.742715,16.5,134.682883,169.6,1384.376786,1.075,140.2,1.144396376,0.0964,16.34944,133.4539221
lt_Watershed_8_SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,lt_Watershed_8,160.26,1925546,1201.51379,1191502,743.480594,14,87.35804318,41.1,256.4582553,55.3,345.0642706,1.003,51.5,0.321352802,0.1677,9.27381,57.86727817
lt_Watershed_7_Ward_SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,lt_Watershed_7_Ward,2314.23,30688326,1326.070702,19700811,851.2901051,18433.7,7965.370771,19303.8,8341.348958,11884,5135.185353,0.315,9621.1,4.157365517,0.3682,4375.6888,1890.775247
